sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
changing_fundamental,20,SWIPE,0.7885,0.6897,0.7774
changing_fundamental,20,YIN,0.8191,0.6939,0.7992
changing_fundamental,20,pYIN,0.7873,0.7534,0.8041
changing_fundamental,20,HPS,0.7291,0.5891,0.6955
fundamental_opposite_harmonic,20,SWIPE,0.2029,0.2179,0.2319
fundamental_opposite_harmonic,20,YIN,0.2257,0.2075,0.2411
fundamental_opposite_harmonic,20,pYIN,0.1538,0.2652,0.2311
fundamental_opposite_harmonic,20,HPS,0.0981,0.1719,0.1486
fundamental_opposite_harmonic02,20,SWIPE,0.0000,0.3239,0.1804
fundamental_opposite_harmonic02,20,YIN,0.0000,0.3913,0.2231
fundamental_opposite_harmonic02,20,pYIN,0.0000,0.4471,0.2612
fundamental_opposite_harmonic02,20,HPS,0.0000,0.3506,0.1985
fundamental_steps,20,SWIPE,0.4750,0.5325,0.5338
fundamental_steps,20,YIN,0.3750,0.5378,0.4977
fundamental_steps,20,pYIN,0.4908,0.5590,0.5556
fundamental_steps,20,HPS,0.4304,0.4247,0.4545
fundamental_steps02,20,SWIPE,0.4558,0.6574,0.6107
fundamental_steps02,20,YIN,0.4162,0.6526,0.6031
fundamental_steps02,20,pYIN,0.4352,0.7200,0.6402
fundamental_steps02,20,HPS,0.4095,0.5946,0.5533
fundamental_steps03,20,SWIPE,0.6157,0.5980,0.6754
fundamental_steps03,20,YIN,0.6189,0.6183,0.6972
fundamental_steps03,20,pYIN,0.6067,0.6815,0.7129
fundamental_steps03,20,HPS,0.5425,0.5933,0.6323
kargyraa,20,SWIPE,0.5967,0.0000,0.1250
kargyraa,20,YIN,0.9585,0.1789,0.6886
kargyraa,20,pYIN,0.9283,0.2043,0.6613
kargyraa,20,HPS,0.2280,0.1628,0.0826
khoomei,20,SWIPE,0.7718,0.0851,0.5531
khoomei,20,YIN,0.8256,0.1308,0.6118
khoomei,20,pYIN,0.7755,0.1096,0.5613
khoomei,20,HPS,0.0263,0.0133,0.0216
overtone_scale,20,SWIPE,0.8387,0.6489,0.8128
overtone_scale,20,YIN,0.8618,0.6595,0.8329
overtone_scale,20,pYIN,0.8154,0.6364,0.7897
overtone_scale,20,HPS,0.8675,0.6188,0.8200
overtone_scale_02,20,SWIPE,0.9097,0.5641,0.8004
overtone_scale_02,20,YIN,0.8967,0.5815,0.8082
overtone_scale_02,20,pYIN,0.8941,0.6188,0.8104
overtone_scale_02,20,HPS,0.4385,0.4327,0.4602
overtone_singing_song,20,SWIPE,0.0074,0.0988,0.0584
overtone_singing_song,20,YIN,0.0091,0.1134,0.0708
overtone_singing_song,20,pYIN,0.0073,0.1243,0.0735
overtone_singing_song,20,HPS,0.0000,0.0762,0.0423
paralel_overtones01,20,SWIPE,0.7857,0.2174,0.5856
paralel_overtones01,20,YIN,0.8120,0.2022,0.5943
paralel_overtones01,20,pYIN,0.7887,0.2449,0.5913
paralel_overtones01,20,HPS,0.6400,0.2500,0.4929
paralel_overtones02,20,SWIPE,0.7407,0.6351,0.7335
paralel_overtones02,20,YIN,0.7857,0.6294,0.7577
paralel_overtones02,20,pYIN,0.7320,0.6517,0.7288
paralel_overtones02,20,HPS,0.6057,0.5521,0.6125
sygyt,20,SWIPE,0.8170,0.2394,0.6656
sygyt,20,YIN,0.7063,0.1530,0.5860
sygyt,20,pYIN,0.7116,0.2268,0.5803
sygyt,20,HPS,0.1622,0.0392,0.1231
sygyt_02,20,SWIPE,0.8148,0.4170,0.7011
sygyt_02,20,YIN,0.7027,0.3529,0.6544
sygyt_02,20,pYIN,0.5756,0.4255,0.5511
sygyt_02,20,HPS,0.6877,0.3101,0.5735
changing_fundamental,40,SWIPE,0.8769,0.7293,0.8467
changing_fundamental,40,YIN,0.9211,0.7360,0.8782
changing_fundamental,40,pYIN,0.8750,0.7919,0.8703
changing_fundamental,40,HPS,0.8213,0.6312,0.7684
fundamental_opposite_harmonic,40,SWIPE,0.6082,0.5705,0.6399
fundamental_opposite_harmonic,40,YIN,0.6967,0.6117,0.7143
fundamental_opposite_harmonic,40,pYIN,0.5988,0.6879,0.6937
fundamental_opposite_harmonic,40,HPS,0.5000,0.5267,0.5575
fundamental_opposite_harmonic02,40,SWIPE,0.6222,0.6265,0.6585
fundamental_opposite_harmonic02,40,YIN,0.6628,0.6994,0.7192
fundamental_opposite_harmonic02,40,pYIN,0.6105,0.7962,0.7415
fundamental_opposite_harmonic02,40,HPS,0.5506,0.6180,0.6154
fundamental_steps,40,SWIPE,0.5799,0.7251,0.6894
fundamental_steps,40,YIN,0.5042,0.6667,0.6344
fundamental_steps,40,pYIN,0.5765,0.8021,0.7316
fundamental_steps,40,HPS,0.4750,0.6211,0.5809
fundamental_steps02,40,SWIPE,0.7939,0.7522,0.8400
fundamental_steps02,40,YIN,0.7773,0.7411,0.8378
