sample_name,k,fundamental_f1,harmonic_f1,combined_f1
changing_fundamental,1,0.8683,0.7829,0.8644
fundamental_opposite_harmonic,1,0.8789,0.7733,0.8895
fundamental_opposite_harmonic02,1,0.8860,0.7351,0.8557
fundamental_steps,1,0.7273,0.7168,0.7602
fundamental_steps02,1,0.8873,0.7969,0.9084
fundamental_steps03,1,0.8968,0.7611,0.9143
kargyraa,1,0.7027,0.0000,0.0000
khoomei,1,0.2061,0.2500,0.1515
overtone_scale,1,0.4789,0.6875,0.6500
overtone_scale_02,1,0.8609,0.6432,0.8060
overtone_singing_song,1,0.7353,0.7230,0.7930
paralel_overtones01,1,0.9375,0.7879,0.9007
paralel_overtones02,1,0.8899,0.6982,0.8455
sygyt,1,0.0567,0.4701,0.3021
sygyt_02,1,0.0000,0.6298,0.3760
changing_fundamental,2,0.8968,0.7500,0.8669
fundamental_opposite_harmonic,2,0.7947,0.7029,0.8185
fundamental_opposite_harmonic02,2,0.8208,0.6797,0.8012
fundamental_steps,2,0.7634,0.6667,0.7667
fundamental_steps02,2,0.6722,0.7200,0.7619
fundamental_steps03,2,0.8041,0.7382,0.8604
kargyraa,2,0.6772,0.0000,0.0000
khoomei,2,0.6842,0.1504,0.4568
overtone_scale,2,0.7368,0.7613,0.8102
overtone_scale_02,2,0.8712,0.6217,0.8087
overtone_singing_song,2,0.8019,0.6495,0.8071
paralel_overtones01,2,0.2062,0.2963,0.2456
paralel_overtones02,2,0.8857,0.6790,0.8362
sygyt,2,0.7826,0.2231,0.6483
sygyt_02,2,0.8378,0.6426,0.8102
changing_fundamental,3,0.9133,0.7649,0.8812
fundamental_opposite_harmonic,3,0.8544,0.7768,0.8769
fundamental_opposite_harmonic02,3,0.8700,0.7551,0.8529
fundamental_steps,3,0.7474,0.7709,0.7977
fundamental_steps02,3,0.8746,0.8047,0.9054
fundamental_steps03,3,0.8555,0.7834,0.9015
kargyraa,3,0.2105,0.1850,0.0941
khoomei,3,0.6960,0.2119,0.5100
overtone_scale,3,0.8374,0.8442,0.8964
overtone_scale_02,3,0.7960,0.6972,0.7860
overtone_singing_song,3,0.7775,0.7074,0.8091
paralel_overtones01,3,0.8667,0.7627,0.8527
paralel_overtones02,3,0.6848,0.7432,0.7507
sygyt,3,0.6716,0.3453,0.6100
sygyt_02,3,0.8173,0.6447,0.7982
changing_fundamental,4,0.9133,0.7596,0.8783
fundamental_opposite_harmonic,4,0.8708,0.7755,0.8861
fundamental_opposite_harmonic02,4,0.8761,0.7292,0.8450
fundamental_steps,4,0.8558,0.7314,0.8384
fundamental_steps02,4,0.8936,0.8031,0.9157
fundamental_steps03,4,0.8577,0.7702,0.8959
kargyraa,4,0.2564,0.1734,0.0941
khoomei,4,0.5463,0.2642,0.4529
overtone_scale,4,0.8810,0.8384,0.9238
overtone_scale_02,4,0.7627,0.7413,0.7871
overtone_singing_song,4,0.8094,0.7291,0.8379
paralel_overtones01,4,0.9434,0.7786,0.9000
paralel_overtones02,4,0.8177,0.7293,0.8142
sygyt,4,0.1683,0.4769,0.3695
sygyt_02,4,0.6877,0.6622,0.7312
changing_fundamental,5,0.9164,0.7606,0.8812
fundamental_opposite_harmonic,5,0.8815,0.7625,0.8864
fundamental_opposite_harmonic02,5,0.8761,0.7330,0.8471
fundamental_steps,5,0.8868,0.7093,0.8470
fundamental_steps02,5,0.8968,0.8063,0.9194
fundamental_steps03,5,0.8709,0.7669,0.9013
kargyraa,5,0.0994,0.2128,0.1176
khoomei,5,0.5972,0.3106,0.4781
overtone_scale,5,0.8810,0.8384,0.9238
overtone_scale_02,5,0.7867,0.7463,0.8028
overtone_singing_song,5,0.8260,0.7349,0.8504
paralel_overtones01,5,0.9434,0.7820,0.9007
paralel_overtones02,5,0.8571,0.7086,0.8283
sygyt,5,0.1776,0.5170,0.3977
sygyt_02,5,0.3716,0.6710,0.5709
changing_fundamental,6,0.9164,0.7622,0.8816
